league,season,fixture_id,date,venue,referee,home_team,away_team,home_goals,away_goals,status,home_shots_on_target,away_shots_on_target,home_shots_total,away_shots_total,home_possession,away_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_passes,away_passes,home_pass_accuracy,away_pass_accuracy,goal_diff,result,total_goals,home_win,draw,away_win,home_total_cards,away_total_cards,total_cards,card_diff,possession_diff,pass_accuracy_diff,shot_diff,shots_on_target_diff,passes_diff,home_shot_efficiency,away_shot_efficiency,shot_efficiency_diff,big_team_home,big_team_away,big_team_match
La Liga,2019,214093,2019-10-04 19:00:00+00:00,Estadio Benito Villamarín,Alejandro Hernández,Real Betis,Eibar,1,1,FT,3.0,2.0,12.0,8.0,57.0,43.0,3.0,6.0,0.0,1.0,455.0,322.0,78.0,68.0,0,D,2,0,1,0,3.0,7.0,10.0,-4.0,14.0,10.0,4.0,1.0,133.0,0.08333333333333333,0.125,-0.04166666666666667,0,0,0
La Liga,2019,214099,2019-10-06 16:30:00+00:00,Reale Arena,Pablo González,Real Sociedad,Getafe,1,2,FT,3.0,4.0,6.0,13.0,50.0,50.0,2.0,4.0,1.0,0.0,342.0,324.0,62.0,56.0,-1,A,3,0,0,1,3.0,4.0,7.0,-1.0,0.0,6.0,-7.0,-1.0,18.0,0.16666666666666666,0.15384615384615385,0.012820512820512803,0,0,0
La Liga,2019,214092,2019-10-06 19:00:00+00:00,Camp Nou,Antonio Mateu,Barcelona,Sevilla,4,0,FT,8.0,4.0,15.0,16.0,55.0,45.0,5.0,3.0,2.0,0.0,561.0,414.0,89.0,84.0,4,H,4,1,0,0,7.0,3.0,10.0,4.0,10.0,5.0,-1.0,4.0,147.0,0.26666666666666666,0.0,0.26666666666666666,1,1,1
La Liga,2019,214108,2019-10-18 19:00:00+00:00,Estadio Nuevo Los Cármenes,Javier Estrada,Granada CF,Osasuna,1,0,FT,2.0,4.0,6.0,9.0,43.0,57.0,2.0,8.0,0.0,1.0,309.0,400.0,70.0,73.0,1,H,1,1,0,0,2.0,9.0,11.0,-7.0,-14.0,-3.0,-3.0,-2.0,-91.0,0.16666666666666666,0.0,0.16666666666666666,0,0,0
La Liga,2019,214104,2019-10-19 14:00:00+00:00,Estadio Wanda Metropolitano,Adrián Cordero,Atletico Madrid,Valencia,1,1,FT,4.0,3.0,15.0,11.0,43.0,57.0,2.0,1.0,0.0,1.0,388.0,502.0,79.0,86.0,0,D,2,0,1,0,2.0,2.0,4.0,0.0,-14.0,-7.0,4.0,1.0,-114.0,0.06666666666666667,0.09090909090909091,-0.024242424242424246,1,1,1
La Liga,2019,214109,2019-10-19 19:00:00+00:00,Iberostar Estadi,Javier Alberola,Mallorca,Real Madrid,1,0,FT,1.0,4.0,5.0,14.0,36.0,64.0,2.0,2.0,0.0,1.0,324.0,543.0,75.0,88.0,1,H,1,1,0,0,2.0,3.0,5.0,-1.0,-28.0,-13.0,-9.0,-3.0,-219.0,0.2,0.0,0.2,0,1,0
La Liga,2019,214114,2019-10-27 10:00:00+00:00,Abanca-Balaídos,Valentín Pizarro,Celta Vigo,Real Sociedad,0,1,FT,1.0,4.0,9.0,9.0,41.0,59.0,5.0,2.0,1.0,0.0,310.0,436.0,70.0,81.0,-1,A,1,0,0,1,6.0,2.0,8.0,4.0,-18.0,-11.0,0.0,-3.0,-126.0,0.0,0.1111111111111111,-0.1111111111111111,0,0,0
La Liga,2019,214118,2019-10-27 19:00:00+00:00,Estadio El Sadar,Santiago Jaime,Osasuna,Valencia,3,1,FT,14.0,1.0,29.0,3.0,65.0,35.0,1.0,1.0,0.0,1.0,567.0,298.0,85.0,72.0,2,H,4,1,0,0,1.0,2.0,3.0,-1.0,30.0,13.0,26.0,13.0,269.0,0.10344827586206896,0.3333333333333333,-0.22988505747126436,0,1,0
La Liga,2019,214150,2019-11-08 20:00:00+00:00,Reale Arena,Juan Martínez,Real Sociedad,Leganes,1,1,FT,5.0,2.0,10.0,6.0,66.0,34.0,2.0,6.0,0.0,1.0,507.0,260.0,80.0,61.0,0,D,2,0,1,0,2.0,7.0,9.0,-5.0,32.0,19.0,4.0,3.0,247.0,0.1,0.16666666666666666,-0.06666666666666665,0,0,0
La Liga,2019,214157,2019-11-22 20:00:00+00:00,Estadio Ciudad de Valencia,Valentín Pizarro,Levante,Mallorca,2,1,FT,6.0,7.0,13.0,14.0,50.0,50.0,2.0,1.0,1.0,0.0,421.0,414.0,81.0,84.0,1,H,3,1,0,0,3.0,1.0,4.0,2.0,0.0,-3.0,-1.0,-1.0,7.0,0.15384615384615385,0.07142857142857142,0.08241758241758243,0,0,0
La Liga,2019,214161,2019-11-24 20:00:00+00:00,Estadio Municipal José Zorrilla,Eduardo Prieto,Valladolid,Sevilla,0,1,FT,1.0,2.0,7.0,4.0,46.0,54.0,3.0,4.0,0.0,1.0,395.0,480.0,78.0,83.0,-1,A,1,0,0,1,3.0,5.0,8.0,-2.0,-8.0,-5.0,3.0,-1.0,-85.0,0.0,0.25,-0.25,0,1,0
La Liga,2019,214168,2019-11-30 17:30:00+00:00,Iberostar Estadi,Juan Martínez,Mallorca,Real Betis,1,2,FT,7.0,3.0,16.0,16.0,45.0,55.0,3.0,4.0,1.0,0.0,381.0,476.0,80.0,83.0,-1,A,3,0,0,1,4.0,4.0,8.0,0.0,-10.0,-3.0,0.0,4.0,-95.0,0.0625,0.125,-0.0625,0,0,0
La Liga,2019,214166,2019-12-01 15:00:00+00:00,RCDE Stadium,Mario Melero,Espanyol,Osasuna,2,4,FT,5.0,8.0,12.0,14.0,52.0,48.0,1.0,4.0,0.0,1.0,416.0,369.0,75.0,70.0,-2,A,6,0,0,1,1.0,5.0,6.0,-4.0,4.0,5.0,-2.0,-3.0,47.0,0.16666666666666666,0.2857142857142857,-0.11904761904761904,0,0,0
La Liga,2019,214179,2019-12-07 12:00:00+00:00,Estadio Santiago Bernabéu,Santiago Jaime,Real Madrid,Espanyol,2,0,FT,8.0,2.0,18.0,6.0,60.0,40.0,4.0,3.0,1.0,0.0,528.0,344.0,83.0,73.0,2,H,2,1,0,0,5.0,3.0,8.0,2.0,20.0,10.0,12.0,6.0,184.0,0.1111111111111111,0.0,0.1111111111111111,1,0,0
La Liga,2019,214175,2019-12-07 15:00:00+00:00,Estadio Nuevo Los Cármenes,Jesús Gil,Granada CF,Alaves,3,0,FT,3.0,1.0,13.0,5.0,51.0,49.0,1.0,4.0,0.0,2.0,317.0,307.0,70.0,71.0,3,H,3,1,0,0,1.0,6.0,7.0,-5.0,2.0,-1.0,8.0,2.0,10.0,0.23076923076923078,0.0,0.23076923076923078,0,0,0
La Liga,2019,214177,2019-12-07 17:30:00+00:00,Estadio Ciudad de Valencia,David Medié,Levante,Valencia,2,4,FT,6.0,6.0,17.0,10.0,49.0,51.0,5.0,2.0,1.0,0.0,432.0,453.0,88.0,85.0,-2,A,6,0,0,1,6.0,2.0,8.0,4.0,-2.0,3.0,7.0,0.0,-21.0,0.11764705882352941,0.4,-0.2823529411764706,0,1,0
La Liga,2019,214174,2019-12-08 11:00:00+00:00,Estadio Municipal de Ipurúa,Eduardo Prieto,Eibar,Getafe,0,1,FT,3.0,3.0,6.0,6.0,53.0,47.0,5.0,1.0,1.0,0.0,297.0,256.0,57.0,53.0,-1,A,1,0,0,1,6.0,1.0,7.0,5.0,6.0,4.0,0.0,0.0,41.0,0.0,0.16666666666666666,-0.16666666666666666,0,0,0
La Liga,2019,214176,2019-12-08 17:30:00+00:00,Estadio Municipal de Butarque,José Sánchez,Leganes,Celta Vigo,3,2,FT,8.0,4.0,15.0,9.0,33.0,67.0,3.0,5.0,0.0,1.0,273.0,552.0,70.0,82.0,1,H,5,1,0,0,3.0,6.0,9.0,-3.0,-34.0,-12.0,6.0,4.0,-279.0,0.2,0.2222222222222222,-0.0222222222222222,0,0,0
